                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.91344,                 0.5759,                0.96244,                0.46645,                   0.75,                0.55075,                 0.4671,                0.88154,                  1.086,                0.87092,              0.0009704,              0.0009704,              0.0009704
                     54,                0.81299,                0.50464,                0.84302,                 0.9904,                      1,                  0.995,                0.83002,                0.75782,                0.42803,                0.77619,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76971,                0.53188,                0.85173,                0.99142,                      1,                  0.995,                0.78859,                0.73335,                0.42209,                 0.7712,              0.0009308,              0.0009308,              0.0009308
                     56,                0.77013,                0.45753,                0.88302,                0.99212,                      1,                  0.995,                0.80829,                0.74085,                 0.4413,                0.76296,               0.000911,               0.000911,               0.000911
                     57,                0.64436,                0.61572,                0.88022,                0.99212,                      1,                  0.995,                0.80829,                0.74085,                 0.4413,                0.76296,              0.0008912,              0.0008912,              0.0008912
                     58,                0.85355,                0.60065,                0.86778,                0.99375,                      1,                  0.995,                0.80829,                0.78826,                0.50146,                0.76467,              0.0008714,              0.0008714,              0.0008714
                     59,                0.81068,                0.48251,                0.87598,                0.99618,                      1,                  0.995,                0.81534,                0.79877,                0.55601,                0.75919,              0.0008516,              0.0008516,              0.0008516
                     60,                0.83317,                0.48546,                0.87359,                0.99116,                      1,                  0.995,                0.83537,                0.75961,                0.49106,                0.75169,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70596,                0.47681,                0.85863,                0.99116,                      1,                  0.995,                0.83537,                0.75961,                0.49106,                0.75169,               0.000812,               0.000812,               0.000812
                     62,                0.72496,                0.51228,                0.85411,                0.98968,                      1,                  0.995,                0.80635,                0.69811,                0.47855,                0.73936,              0.0007922,              0.0007922,              0.0007922
                     63,                0.71911,                0.46705,                0.82412,                0.99014,                      1,                  0.995,                 0.8381,                0.68714,                0.49283,                0.73276,              0.0007724,              0.0007724,              0.0007724
                     64,                0.70665,                0.50733,                0.83109,                0.98862,                      1,                  0.995,                0.82642,                 0.6778,                0.46343,                0.73348,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68486,                 0.4848,                0.87273,                0.98862,                      1,                  0.995,                0.82642,                 0.6778,                0.46343,                0.73348,              0.0007328,              0.0007328,              0.0007328
                     66,                0.74063,                0.45921,                0.83945,                 0.9878,                      1,                  0.995,                0.83364,                0.65548,                0.41412,                0.73732,               0.000713,               0.000713,               0.000713
                     67,                0.75685,                0.45505,                0.79604,                0.98806,                      1,                  0.995,                0.83292,                0.66928,                0.43781,                0.74405,              0.0006932,              0.0006932,              0.0006932
                     68,                0.64118,                0.41458,                0.82918,                0.98848,                      1,                  0.995,                0.83168,                0.71605,                0.45322,                0.75243,              0.0006734,              0.0006734,              0.0006734
                     69,                  0.718,                0.47248,                0.85159,                0.98848,                      1,                  0.995,                0.83168,                0.71605,                0.45322,                0.75243,              0.0006536,              0.0006536,              0.0006536
